yapim_id,lokasyon_id,sahne_bilgisi
846,286,İzmir'in yerel mahalle kültürü ve esnaf sahneleri
846,299,Urla ve çevresindeki kıyı şeridi çekimleri
555,286,Emekli Albay Yıldırım ve ailesinin İzmir'deki müstakil evi ve bahçesi
555,287,Alsancak Kordon ve şehir içi aile gezintileri
555,281,Karşıyaka sahilindeki duygusal ve komik aile sahneleri
885,286,Cemal ve Ateş'in Konak/Kemeraltı çevresindeki dolandırıcılık sahneleri
885,287,Kordon'daki balıkçı restoranları ve akşam yemekleri
885,281,Karşıyaka sahilindeki operasyonel ve komik sahneler
3,170,90'lı yılların İstanbul polisiyesi sahneleri ve dar sokaklar
3,251,Vefa ve çevresindeki tarihi mahalle baskın sahneleri
3,173,Polis ekiplerinin sahil devriyesi ve kovalamaca sahneleri
113,279,Saruhanlı ailesinin Ödemiş/Birgi'deki kökleri ve aile konağı
113,251,İstanbul Reşitpaşa ve Vefa çevresindeki yeni yaşam alanı sahneleri
113,222,Levent/Maslak hattındaki holding ve iş dünyası çekimleri
426,293,"Aslı, Efe, Deniz ve Mine'nin Seferihisar/Sığacık'taki lise yılları"
426,173,Karakterlerin üniversite için geldikleri İstanbul Bebek ve kampüs sahneleri
426,170,İstanbul'daki ilk ev ve mahalle yaşantısı çekimleri
674,297,Savcı Selim ve Akgün'ün İzmir Çeşme'deki adalet sitesi sahneleri
674,273,Alaçatı sokaklarındaki romantik ve gerilimli sahneler
674,173,Dizinin İstanbul sahneleri ve adliye çekimleri
698,86,İzmit Sekapark platosunda kurulan tarihi hapishane sahneleri
698,170,İstanbul'un tarihi semtlerinde geçen 1930'lu yılların atmosferi
698,266,Mahkeme ve resmi daire sahneleri için kullanılan tarihi binalar
848,170,Dağıstanlı ailesinin yaşadığı lüks köşk ve İstanbul sahneleri
848,266,Ilgaz'ın müebbet hapis yattığı ve serbest kaldığı adliye sahneleri
848,173,Boğaz hattındaki modern şehir ve kaçış sahneleri
895,173,Şebnem'in Gümüşsuyu ve Bebek hattındaki lüks yaşam sahneleri
895,222,Şehir merkezi sahneleri ve modern İstanbul silüeti
895,170,Karakterlerin geçmişine dair flashback sahneleri
752,86,İşgal altındaki İzmir kenti için İzmit'te kurulan devasa plato
752,217,İç mekan çekimleri ve kordon boyu atmosferi için kullanılan stüdyolar
752,170,Dönemin İstanbul bağlantılı siyasi ve askeri sahneleri
809,86,Çanakkale Savaşı atmosferi için kullanılan özel dış mekan platoları
809,217,Dönem kostümlü iç mekan çekimleri ve hastane sahneleri
809,170,Tarihi İstanbul mahalleleri ve cepheye gidiş sahneleri
615,297,Dizinin Ege sahillerindeki renkli ve romantik sahneleri
615,287,İzmir Kordon boyu ve şehir merkezi sosyal yaşam çekimleri
615,173,İstanbul'daki dizi seti ve medya dünyası sahneleri
223,52,Dizinin başlangıç sahneleri olan Cunda Adası ve Ayvalık sokakları
223,173,Ailenin İstanbul'daki samimi mahallesi ve dış çekimler
223,170,İstanbul genelindeki romantik komedi unsurlarının geçtiği semtler
18,287,Bulut ve Melek'in İzmir sahneleri ve liman çevresi çekimleri
18,170,İstanbul'daki holding ve zengin aile villası sahneleri
18,173,Karakterlerin İstanbul içindeki duygusal yüzleşme sahneleri
326,273,Gülizar'ın Çeşme/Alaçatı çevresindeki lüks çiftlik yaşamı
326,173,İstanbul'daki müzik dünyası ve modern stüdyo sahneleri
326,286,İzmir şehir merkezindeki nostaljik dış çekimler
255,291,Melahat'ın Sığacık'taki restoranı ve meşhur pazar sahneleri
255,146,Şevket Reis'in Rize'den Ege'ye uzanan Karadeniz sahneleri
255,33,Karakterlerin İzmir ve bölge arası seyahat rotaları
396,285,Zeliş ve Mustafa'nın Ildır köyündeki maceraları
396,273,Alaçatı ve çevresindeki komedi ve aşk sahneleri
396,299,İzmir Urla çevresindeki dış mekan çekimleri
393,296,Kerem ve Sevda'nın Urla bağ yollarındaki karşılaşma sahneleri
393,173,Korhan ailesinin İstanbul'daki lüks köşk ve holding sahneleri
393,222,İstanbul'un modern silüetinde geçen iş dünyası sahneleri
605,2,Ramo'nun Adana/Seyhan'daki mahalle ve taşra sahneleri
605,9,Varda Köprüsü çevresindeki aksiyon ve pusu sahneleri
605,170,Dizinin İstanbul'a taşınmasıyla kullanılan tarihi semtler
794,278,Dizinin geçtiği kurgusal Yeşilova kasabası (Ödemiş/Birgi) sahneleri
794,286,İzmir genelindeki 90'lar atmosferini yansıtan sokak çekimleri
794,276,Doğal köy yaşantısı ve tarla çekimleri
249,282,Gece ve Özgür'ün Eski Foça'daki sahil ve tekne sahneleri
249,173,İstanbul'dan İzmir'e taşınma süreci ve vedalaşma çekimleri
249,286,Foça-İzmir arası yol ve manzara sahneleri
21,291,Kurgusal Kırlangıç Adası sahneleri için kullanılan Sığacık sokakları
21,173,Haziran'ın İstanbul'daki iş dünyası ve modern ofis yaşamı
21,273,İzmir Çeşme çevresindeki bazı plaj ve eğlence çekimleri
408,170,Yasemin'in İstanbul'daki entrika dolu yalı ve holding sahneleri
408,219,90'ların İstanbul mahalle atmosferini yansıtan dış çekimler
408,173,Boğaz hattındaki lüks mekan ve restoran buluşmaları
182,299,Feraye'nin Urla'daki pavyon ve sahil sahneleri
182,286,İzmir şehir merkezi ve kordon boyu çekimleri
182,273,Karakterlerin Çeşme/Alaçatı çevresindeki lüks yaşam sahneleri
504,170,İstanbul'daki tarihi okul binası ve çevresindeki mahalle sahneleri
504,173,Gençlik grubunun Beşiktaş/Bebek sahilindeki eğlenceli anları
504,219,Samimi mahalle kültürü ve okul çıkışı çekimleri
658,296,Üç kız kardeşin bir araya geldiği Urla bağ evleri ve çiftlik sahneleri
658,299,Urla limanı ve kasaba merkezi çekimleri
658,273,Dizinin İzmir genelindeki modern dış çekimleri
31,231,Soykan ailesinin yaşadığı Sarıyer/Reşitpaşa'daki devasa çiftlik evi
31,222,Aslan'ın gece kulübü ve Beşiktaş çevresindeki modern ofis sahneleri
31,170,Karakterlerin gizli buluşma noktaları ve çatışma sahneleri
292,285,Fatmagül'ün yaşadığı Ildır köyü ve meşhur sahil sahneleri
292,170,Karakterlerin İstanbul'a taşındıktan sonra yerleştikleri Göksu Deresi/Anadolu Hisarı sahneleri
292,173,Yeniköy ve Tarabya hattındaki hukuki mücadele ve dış çekimler
148,284,1980'lerin İzmir Gültepe mahalle atmosferi ve dar sokak sahneleri
148,286,Konak meydanı ve tarihi İzmir çarşı sahneleri
148,299,İzmir'in kıyı bölgelerindeki dramatik dış çekimler
503,273,İzmir ve çevresindeki lüks konaklar ve entrika dolu iç mekanlar
503,286,Şehir merkezi sahneleri ve karakterlerin sosyal alanları
503,173,Bazı İstanbul bağlantılı iş dünyası çekimleri
669,285,Hazal ve Kenan'ın aşkının başladığı Ildır/Çeşme sahneleri
669,123,Dizinin lüks tatil beldesi ve tekne çekimlerinin yapıldığı Marmaris/Selimiye hattı
669,170,İstanbul'daki holding ve villa sahneleri
436,273,Gelinlerin İzmir Çeşme havalimanı ve otoyoldaki kaçış sahneleri
436,173,Karakterlerin İstanbul'da yerleştikleri mahalle ve cafe sahneleri
436,222,Moda ve medya dünyasını temsil eden Şişli/Beşiktaş çekimleri
623,150,Asya ve Volkan'ın Tekirdağ'daki evi ve hastane sahneleri
623,170,İstanbul'daki vakıf ve sosyal çevre etkinlikleri
623,173,Boğaz hattındaki romantik ve gerilimli sahneler
25,273,Kumsal ve Batu'nun İzmir Çeşme'de başlayan gençlik hikayesi
25,173,Üniversite hayatı için taşındıkları İstanbul sahil semtleri
25,222,İstanbul'daki modern kampüs ve sosyal yaşam alanları
368,161,Dizinin geçtiği kurgusal köy atmosferi ve Çanakkale kırsalı
368,286,Liman ve kasaba merkezi çekimleri
368,117,Doğa ile iç içe olan piknik ve aşk sahneleri
641,173,Eda'nın çiçekçisi ve Serkan Bolat'ın holding binası çevresi
641,222,Modern İstanbul ofis yaşantısı ve lüks mekan sahneleri
641,170,Karakterlerin sosyal etkinlikleri ve dış çekimleri
362,131,Johnny Blaze'in Kapadokya'daki mağara manastırları ve vadilerdeki aksiyon sahneleri
362,133,Motosikletli kovalamaca sahneleri için kullanılan Avanos yolları
362,139,Fantastik atmosferi destekleyen peri bacaları çekimleri
536,131,"Medea'nın vatanı ""Colchis"" olarak gösterilen Göreme vadileri"
92,134,Tarihi ve mistik atmosfer için kullanılan mağara kiliseleri
92,13,Ihlara Vadisi çevresindeki epik dış çekimler
92,69,Yılmaz Güney'in kaçakçıların hikayesini anlattığı sarp dağ sahneleri
92,301,Fırat nehri ve çevresindeki dramatik geçiş sahneleri
92,97,Güneydoğu'nun sert doğasını yansıtan kırsal çekimler
237,5,Barazoğlu ailesinin çiftliği ve Adana/Kozan çevresindeki ovalar
237,8,Dila Hanım ve Karadağlı Rıza'nın karşılaştığı dış çekimler
237,2,Şehir merkezi sahneleri ve istasyon buluşmaları
585,14,Aksaray Sultanhanı'nda çekilen tarihi kervansaray ve çatışma sahneleri
585,134,Kapadokya'nın genel vadi manzaralarında geçen savaş sahneleri
585,239,İstanbul Sirkeci Garı ve liman çevresindeki tarihi çekimler
464,97,Güneydoğu Anadolu'nun sert töre atmosferini yansıtan Mardin sokakları
464,102,Kuma olarak gelen karakterin yaşadığı tarihi ev sahneleri
464,140,Kasaba merkezi ve genel dış çekimler
785,134,Hayalet Cevher'in hikayesinin geçtiği Kapadokya/Göreme sahneleri
785,264,Rıdvan'ın hikayesinin geçtiği İstanbul/Üsküdar ve Boğaz hattı
785,170,Karakterlerin psikolojik durumlarını yansıtan şehir içi çekimler
719,2,Adana ve çevresindeki aksiyon ve macera sahneleri
719,301,Halfeti ve nehir kenarındaki takip sekansları
719,31,Kıyı şeridi ve doğa ile iç içe olan dış çekimler
300,170,Ayşe'nin cezaevinden kaçışı ve İstanbul'daki saklanma sahneleri
300,266,Mahkeme ve hapishane atmosferi için kullanılan tarihi mekanlar
300,173,Deniz kenarındaki duygusal sahneler ve hesaplaşmalar
524,170,İstanbul'un dar sokaklarındaki dramatik kaçış ve yaşam sahneleri
524,266,Dizinin adliye ve hapishane odaklı ana mekanları
524,239,Sirkeci çevresindeki seyahat ve ayrılık çekimleri
252,134,Uzay üssü ve fantastik gezegen atmosferi için kullanılan vadiler
252,139,Dizinin komedi ve aksiyon unsurlarının geçtiği ilginç kaya oluşumları
252,32,Görsel efektli sahneler için kullanılan Antalya stüdyo platoları
493,134,"Kapadokya'nın ""Wild West"" atmosferi için kullanılan düzlükleri"
493,13,Ihlara Vadisi içindeki kovboy çatışma ve kamp sahneleri
493,133,Karakterlerin at bindiği peri bacaları ve vadi yolları
215,134,Minyatür sanatçısı Eflatun'un Kapadokya'daki yolculuğu
215,170,Osmanlı dönemi İstanbul atmosferi ve saray çekimleri
215,140,Genel dış mekan ve vadi manzaraları
16,69,Yılmaz Güney'in intikam ve dram dolu karlı dağ sahneleri
16,2,Karakterlerin kasaba içi etkileşim sahneleri
16,301,Güneydoğu Anadolu'nun sert coğrafyasını yansıtan çekimler
592,31,Karakterlerin huzuru aradığı sahil kasabası sahneleri
592,173,İstanbul'un modern yüzünü yansıtan Bebek ve çevresi
592,170,Dramatik şehir içi sekanslar
603,71,Köyün ortasından geçen tel örgüler ve gümrük kapısı sahneleri
603,97,Mardin benzeri taş yapıların kullanıldığı sınır köyü atmosferi
603,286,Kasaba merkezi ve pazar yeri çekimleri
315,130,Dizinin ana mekanı olan ve ismini aldığı Gomeda Vadisi mağaraları
315,134,Kapadokya'nın gizemli ve fantastik dış çekimleri
315,133,Karakterlerin kaybolduğu ıssız vadi sahneleri
251,134,Uzay gemisinin düştüğü gezegen olarak kullanılan Kapadokya vadileri
251,133,Cüneyt Arkın'ın dev kayalarla antrenman yaptığı sahneler
251,135,Mağara içi savaş ve aksiyon sahneleri
1,157,Van'da 120 kahraman çocuğun karlı dağlardaki yürüyüş sahneleri
1,156,Van Gölü çevresindeki dramatik ordu ve halk çekimleri
1,79,Lojistik ve sevkiyat sahneleri için kullanılan bölgeler
760,157,Van/Gevaş'ta kurulan dev vizontele kasaba platosu
760,156,Karakterlerin göl kenarındaki ve vapur iskelesindeki sahneleri
760,2,Diziye yeni gelenlerin şehre giriş sahneleri
759,157,Televizyonun köye geldiği o meşhur meydan ve Belediye binası sahneleri
759,156,Deli Emin'in tamirat yaptığı ve göl manzaralı dış mekanlar
759,2,Belediye Başkanı ve halkın kasaba içi etkileşimleri
849,80,Kars'ın köylerindeki yerel yaşamı anlatan belgesel çekimleri
849,78,Kentsel doku ve kış atmosferi sahneleri
849,77,Bölgenin tarihi derinliğini yansıtan dış çekimler
62,47,Ağrı Dağı manzaralı dramatik ve tarihi sahneler
62,48,Tarihi arka plan için kullanılan saray çevresi çekimleri
62,156,Doğu Anadolu'nun dini ve kültürel sembolleri
409,175,Ömer ve Elif'in Bebek sahilindeki buluşma ve yürüyüş sahneleri
409,170,Polisiye operasyonların geçtiği tarihi yarımada ve Balat sokakları
409,173,Van'daki ilk sahneler ve İstanbul'daki lüks villa çekimleri
369,80,Öğretmen Hayat'ın atandığı Kars sokakları ve okul çevresi
369,78,Kars'ın tarihi evlerindeki yaşam sahneleri
369,79,Şehre varış ve ayrılışlarda kullanılan gar sahneleri
341,156,Selma'nın Van'dan İstanbul'a uzanan hikayesinin başlangıç noktası
341,170,İstanbul Balat'taki samimi mahalle ve restoran sahneleri
341,173,Boğaz hattındaki aile ve eğlence çekimleri
337,80,Altun ailesinin zorunlu göç öncesi Kars/Doğu Anadolu sahneleri
337,239,İstanbul'a varış ve Sirkeci çevresindeki ilk yabancılaşma sahneleri
337,170,Şehir hayatına tutunma çabaları ve dramatik dış çekimler
230,78,Mişka ve Popuç'un Kars'ın karlı sokaklarındaki hesaplaşmaları
230,77,Ani Harabeleri çevresindeki epik ve tarihi manzaralar
230,79,Tren hattı boyunca geçen hüzünlü yolculuk sahneleri
461,80,Kosmos'un Kars kalesi ve çevresindeki gizemli sahneleri
461,78,Kars'ın eski sokaklarındaki metafizik ve kış çekimleri
461,77,Sınır hattındaki ıssız ve dramatik harabe görüntüleri
606,78,Rauf'un Kars köylerindeki çocukluk ve marangoz çıraklığı sahneleri
606,79,Bölgenin kış doğasını yansıtan bembeyaz dış çekimler
606,80,İlçe merkezi ve pazar yerindeki samimi sahneler
676,79,Demiryolu çalışanlarının kış atmosferindeki sahneleri
676,78,Kars'ın dondurucu sokaklarında geçen dramatik yürüyüşler
676,140,Genel şehir merkezi ve kasaba yaşantısı çekimleri
107,170,İstanbul Balat çevresindeki neşeli mahalle sahneleri
107,173,Karakterlerin sahil boyu gezintileri ve eğlenceli anları
107,219,Samimi mahalle kültürü ve komşuluk sahneleri
747,78,Kars'ın tarihi dokusunda geçen kaçış ve dram sahneleri
747,79,Şehre varış ve ayrılışlarda kullanılan ikonik mekanlar
747,82,Doğal vadi ve açık hava çekimleri
154,45,Hopa ve çevresindeki çay tarlaları ile deniz sahneleri
154,42,Artvin sınır hattındaki dramatik buluşma noktaları
154,146,Rize/Fırtına Deresi çevresindeki dış mekan çekimleri
164,173,Ailenin İstanbul sahil semtlerindeki sıcak yaşam alanları
164,222,Karakterlerin modern iş hayatı ve plaza sahneleri
164,170,Flashback sahneleri için kullanılan eski mahalle dokuları
673,170,1980'lerin İstanbul'unda geçen siyasi ve dramatik sahneler
673,266,Tarihi mahkeme binaları ve resmi kurum çekimleri
673,239,Sirkeci ve Eminönü hattındaki dönem atmosferi
516,170,İstihbarat operasyonlarının geçtiği Beyoğlu ve çevresi
516,239,Eminönü ve Sirkeci'deki aksiyon/kovalamaca sahneleri
516,264,Deniz kenarı ve liman bölgelerindeki gizli buluşmalar
629,239,Sirkeci Garı'ndaki sürgün ve vedalaşma sahneleri
629,181,Dönemin iç mekan atmosferini yansıtan Beykoz stüdyoları
629,170,Varlık Vergisi döneminin İstanbul sokakları ve ticaret merkezleri
234,62,Yusuf Miroğlu'nun Diyarbakır ve çevresindeki operasyon sahneleri
234,96,Mardin Dara Antik Kenti ve çevresindeki çatışma sahneleri
234,102,Güneydoğu'nun tarihi dokusunda geçen politik ve aksiyon sekansları
172,102,Karakterlerin dilek dilediği ve masalsı sahnelerin geçtiği Mardin sokakları
172,100,Geleneksel ev yaşamını yansıtan tarihi mekan çekimleri
172,82,Açık hava çekimleri ve doğal vadi manzaraları
318,102,Dünya ve Nazım'ın hikayesinin başladığı Mardin sahneleri
318,184,Nazım'ın taksicilik yaptığı ve Dünya'yı koruduğu Beyoğlu sokakları
779,264,Dizinin gerilimli ve duygusal dış mekan çekimleri
318,239,Karakterlerin buluşma ve ayrılma noktası olan Sirkeci-Eminönü hattı
746,99,Boran ve Alya ailesinin Mardin'deki ana yerleşkesi
746,102,Karakterlerin çatışma ve pusu sahnelerinin geçtiği dar sokaklar
746,98,Şehre geliş ve kaçış rotalarındaki yol sahneleri
108,102,Azizoğlu ve Şahvar ailelerinin Mardin'deki köklü geçmişi
108,173,Hazar ve Zilan'ın İstanbul'daki lüks yaşam ve iş çevreleri
108,170,Zorunlu göç ve şehir hayatına adaptasyon sahneleri
597,262,Yoksul mahalleden gelen gençlerin okuduğu özel kolej binası
597,170,Karakterlerin yaşadığı samimi İstanbul mahallesi ve dükkanlar
597,187,Beşiktaş ve çevresindeki gençlik buluşma mekanları
299,102,Nadir ve ailesinin kaçış hikayesinin geçtiği Mardin kırsalı
299,170,Karakterlerin İstanbul'daki saklanma ve mücadele sahneleri
299,266,Adliye ve hapishane atmosferini yansıtan çekimler
167,102,Mustafa Bulut'un saplantılı aşkını yaşadığı Mardin konağı ve çevresi
167,96,Dara Antik Kenti ve çevresindeki mistik dış çekimler
167,98,Mayınlı arazi ve sınır hattı atmosferini yansıtan yol sahneleri
692,99,Genco ailesinin yaşadığı ve dizinin simgesi haline gelen Sıla Konağı
692,101,Töre ve aşiret toplantılarının geçtiği tarihi çarşı sahneleri
692,173,Sıla'nın İstanbul'daki modern hayatı ve iş dünyası sahneleri
378,100,Şadoğlu ve Aslanbey ailelerinin yaşadığı meşhur Midyat Konağı
378,96,Reyyan ve Miran'ın buluştuğu tarihi harabeler ve dış çekimler
378,102,Karakterlerin at bindiği ve dertleştiği tarihi Mardin sokakları
626,170,İstanbul'un kenar mahallelerinde hayata tutunmaya çalışan kardeşlerin sahneleri
626,173,Dizinin dramatik yapısını destekleyen deniz kenarı ve sahil hattı
626,222,Şehir merkezi sahneleri ve karakterlerin mücadele alanları
6,83,Musul operasyonu sahneleri için kullanılan Kilis sınır platosu
6,66,Gaziantep çevresindeki aksiyon ve çatışma sekansları
6,266,Karar alma mekanizmalarının geçtiği Ankara/İstanbul resmi bina çekimleri
510,67,Gaziantep Bakırcılar Çarşısı ve yerel yaşam sahneleri
510,304,Şanlıurfa'nın manevi atmosferinde geçen hüzünlü sahneler
510,301,Halfeti sahneleri ve nehir üzerindeki dramatik çekimler
466,66,Kuzey Irak sahneleri için kullanılan Gaziantep Kalesi ve çevresi
466,83,Sınır ötesi operasyon ve kamp sahnelerinin çekildiği Kilis/Antep platosu
466,2,Lojistik ve askeri intikal sahneleri için kullanılan bölgeler
329,66,Gülperi'nin çocukları için mücadele ettiği Gaziantep mahalleleri
329,67,Antep çarşı sahneleri ve yerel halkla olan etkileşimler
329,173,Hikayenin İstanbul ayağında geçen adliye ve modern şehir sahneleri
339,66,Kenan ve Zülüf'ün aşkının başladığı tarihi Gaziantep kalesi ve evleri
339,67,Aşiretler arası görüşmelerin yapıldığı çarşı ve han sahneleri
339,8,Dramatik yapıyı destekleyen Adana/Antep sınırındaki kırsal alanlar
818,66,Ece Uslu ve Yavuz Bingöl'ün başrolünde olduğu dizinin ana kalesi ve konağı
818,8,Sıcak Adana/Antep ovalarında geçen tarla ve at binme sahneleri
818,170,Karakterlerin İstanbul maceraları ve hastane sahneleri
417,66,Fransız işgaline karşı direnişin geçtiği tarihi Gaziantep platosu
417,67,Dönemin atmosferini yansıtmak için kullanılan eski çarşılar
417,301,Nehir kenarı ve stratejik geçiş noktalarındaki savaş sahneleri
149,66,Melek ve ailesinin yaşadığı tarihi Antep konağı ve sokakları
149,67,Karakterlerin çarşıdaki dükkanları ve mutfak kültürü sahneleri
149,173,Melek'in geçmişindeki İstanbul sahneleri ve hastane çekimleri
765,67,Baklavacı Kahraman Usta'nın dükkanı ve çarşı sahneleri
765,66,Memik Dede ve ailesinin Antep'teki tarihi evi
765,173,Niko ve Nazlı'nın İstanbul'daki yaşamları ve Boğaz sahneleri
664,222,İstihbarat operasyonlarının merkezi olan modern İstanbul plazaları
664,170,Kovalamaca ve aksiyon sahnelerinin geçtiği tarihi yarımada
664,32,Yurt dışı atmosferi için kullanılan Antalya plato çekimleri
757,66,Kaan'ın Antep'teki aile evi ve yöresel sahneler
757,173,Ayperi'nin İstanbul'da bebek bakıcılığı yaptığı modern villa
757,170,İstanbul sokaklarındaki komedi ve aşk sahneleri
772,66,Korhan ailesinin köklerinin bulunduğu Gaziantep sahneleri
772,170,Ferit ve Seyran'ın yaşadığı İstanbul'daki ihtişamlı yalı (Beylerbeyi/Yeniköy)
772,173,Boğaz hattındaki sosyal yaşam ve gece hayatı sahneleri
576,146,Fırtına Deresi çevresindeki ekolojik ve politik tartışma sahneleri
576,153,Sümela Manastırı yolu ve Karadeniz'in turistik bölgeleri
576,264,İstanbul'daki belgesel çekimi ve röportaj sahneleri
124,43,Yusuf ve babasının arıcılık yaptığı Maçahel'in derin ormanları
124,44,"Borçka ve çevresindeki sisli, dramatik doğa çekimleri"
124,148,Bölgedeki eski ahşap yayla evleri ve okul sahneleri
675,45,Yusuf'un cezaevinden döndüğü Hopa sahil sahneleri
675,43,Artvin'in sarp yaylalarındaki hüzünlü ve karlı kış çekimleri
675,146,Rize-Artvin hattındaki doğa ve yol sahneleri
139,170,Cezayir Türk'ün İstanbul'daki yeraltı dünyası ve aile sahneleri
139,264,Deniz kenarındaki gizli buluşma ve operasyon noktaları
139,31,Muğla ve çevresindeki bazı dış mekan aksiyon çekimleri
101,148,Zeynep ve Fatih'in Rize'deki kaçış ve aile sahneleri
101,173,Şekercizade ailesinin İstanbul'daki lüks köşkü ve Boğaz sahneleri
101,170,Karakterlerin İstanbul'daki mahalle ve çarşı maceraları
638,146,Nefes ve Tahir'in Fırtına Deresi kenarındaki aksiyon ve dram sahneleri
638,148,Kaleli ailesinin yaşadığı tarihi Karadeniz konağı ve yaylalar
638,147,Şehir merkezi sahneleri ve Rize sahil şeridi
783,143,Gül'ün memleketi olan Ordu sahneleri ve Boztepe manzaraları
783,173,İstanbul'daki müzik prodüksiyon merkezi ve modern şehir hayatı
783,222,Plaza ve ofis sahnelerinin çekildiği Beşiktaş-Levent hattı
192,146,HES karşıtı protestoların ve nehir kenarındaki komik sahnelerin geçtiği vadi
192,148,Köy meydanı ve yerel halkın toplandığı tarihi mekanlar
192,145,Yayladaki hayvancılık ve doğa yaşamı kesitleri
798,16,Kasvetli ve zamansız bir atmosfer için seçilen Ankara/İç Anadolu tren yolları
798,73,"Isparta ve çevresindeki ıssız, dramatik doğa çekimleri"
798,97,Mardin ve çevresindeki taş yapıların dış mekan görüntüleri
577,154,Oflu Hoca'nın başkanlık yarışı ve Trabzon sokaklarındaki maceraları
577,153,Sümela Manastırı çevresindeki turistik ve komik sahneler
577,140,Şehir içi çarşı ve pazar çekimleri
442,151,Eren Bülbül'ün gerçek yaşam alanı olan Maçka ve çatışma sahneleri
442,155,Bölgenin sarp ve engebeli arazisindeki operasyon sahneleri
442,153,Trabzon genelindeki dramatik ve biyografik dış çekimler
711,154,Trabzon köylerindeki yerel halkın samimi hikayeleri ve tarla sahneleri
711,140,Ürgüp benzeri taşra kasabası sahneleri ve sokak çekimleri
711,146,Doğa ile iç içe geçen çocukluk ve gençlik sahneleri
682,153,Temel'in define aradığı Sümela Manastırı ve gizli geçit sahneleri
682,154,Trabzonspor ve taraftar sahnelerinin geçtiği şehir içi noktalar
682,146,Rize ve çevresindeki nehir kenarı komedi sekansları
578,154,Oflu Hoca'nın maceralarının geçtiği Sürmene ve Trabzon köyleri
578,140,Karakterlerin şehirler arası yolculuk ve dış çekim sahneleri
578,170,İstanbul bağlantılı komedi sekansları
786,239,Karakterlerin Almanya-Türkiye arası geçiş noktası olan Sirkeci ve çevresi
786,264,İstanbul'un kaotik ve duygusal atmosferini yansıtan sokak çekimleri
786,35,Antalya sahneleri ve deniz kenarı hesaplaşmaları
547,154,Temel'in Trabzon'daki evi ve mahalle sahneleri
547,2,Rusya yolculuğu öncesi ulaşım ve hazırlık çekimleri
547,170,Şehir içi aksiyon ve komedi sahneleri
705,170,Dizinin ana merkezi olan tarihi İstanbul mahalleleri
705,173,Boğaz hattı ve deniz kenarındaki dramatik sahneler
705,222,Karakterlerin iş hayatı ve modern şehir sahneleri
413,178,Mahir Kara'nın mahallesini temsil eden Beykoz ve çevresi
413,266,Dönemin adliye atmosferini yansıtan tarihi binalar
413,170,1970'lerin İstanbul'unu yansıtan Balat ve Beyoğlu arka sokakları
699,146,Fadime'nin Rize'den İstanbul'a uzanan hikayesinin Karadeniz sahneleri
699,219,Fadime ve ailesinin İstanbul'da yerleştiği samimi mahalle
699,173,Beşiktaş ve çevresindeki romantik komedi sahneleri
301,148,Ali ve Zeynep'in aşkının geçtiği Çamlıhemşin ve Fırtına Deresi
301,146,Rafting ve nehir kenarındaki eğlenceli atışma sahneleri
301,154,Genel Karadeniz doğası ve yayla çekimleri
870,173,Aras Teknoloji ofisi ve modern İstanbul manzaralı çekimler
870,222,Şehir içindeki plazalar ve lüks mekan sahneleri
870,148,Karakterlerin memleketlerine yaptıkları Karadeniz yolculukları
776,220,Tekin ailesinin yaşadığı ve dizinin kalbi olan ikonik köşk (Kuzguncuk)
776,173,Hayriye Hanım ve kızlarının alışveriş ve gezi sahneleri (Beyoğlu-Beşiktaş)
776,239,Ali Rıza Bey'in emeklilik sonrası İstanbul'a ilk geldiği tren garı çevresi
8,34,Memo'nun kızıyla yaşadığı köy atmosferi için kullanılan mağara ve çevresi
8,31,Muğla/Yatağan çevresinde kurulan plato ve köy sahneleri
8,82,Karakterlerin doğa içindeki duygusal geçiş sahneleri
244,120,Ali Usta'nın dondurma motoruyla gezdiği Muğla şehir içi sokakları
244,127,Dizinin geçtiği doğal köy atmosferi ve komşuluk sahneleri
244,112,Muğla çevre yolu ve kasaba giriş sahneleri
581,127,Köy hayatına alışmaya çalışan karakterlerin tarla ve çiftlik sahneleri
581,112,Marmaris sahil şeridi ve romantik sahneler
581,173,Karakterlerin İstanbul bağlantılı başlangıç sahneleri
72,179,Aslan ailesinin yaşadığı geniş çiftlik evi ve bahçesi
72,173,Modern İstanbul sahneleri ve üniversite çevresi
72,222,İş dünyası ve ofis çekimlerinin yapıldığı plazalar
398,127,Dal ailesinin İstanbul'dan kaçıp yerleştiği Yeşilyurt köyü meydanı
398,120,Muğla şehir merkezi ve adliye sahneleri
398,173,Ailenin İstanbul'daki lüks hayatına dair flashback sahneleri
873,170,Azem'in kaldığı otelin bulunduğu tarihi mahalle ve Balat sokakları
873,187,Beşiktaş ve çevresindeki günlük yaşam sahneleri
873,173,Dizinin ikonik pavyon sahnelerinin çekildiği kapalı setler ve sahil hattı
129,85,Riva'da kurulan devasa gemi ve liman platosu sahneleri
129,179,Tarihi çarşı ve iç mekan çekimleri için kullanılan Beykoz stüdyoları
129,170,Saray ve zindan sahneleri için kullanılan tarihi yapılar
399,173,Hastanenin bulunduğu lüks semt ve sahil yürüyüş yolları
399,222,Modern tıp merkezi çekimleri ve dış mekan şehir görüntüleri
399,170,Eylül'ün çocukluğunun geçtiği mahalle ve okul sahneleri
193,105,Ergüven ailesinin Bodrum'a döndükten sonraki sahil ve liman sahneleri
193,106,Bitez ve çevresindeki sörf okulu ve gençlik temalı çekimler
