id,lokasyon_adi,sehir,ilce,koordinat,turizm_potansiyeli,ziyaret_durumu,populer_aktiviteler,gorsel_url
153,Sümela Manastırı ve Altındere Vadisi,Trabzon,Maçka,"40.690, 39.658",Çok Yüksek,Müze/Açık,"Kültür Turu, Fotoğraf",https://gorsel-linki.com/sumela.jpg
154,Sürmene Köyleri ve Yaylaları,Trabzon,Sürmene,"40.910, 40.118",Yüksek,Açık,"Doğa Fotoğrafçılığı, Gastronomi",https://gorsel-linki.com/surmene.jpg
155,Vazelon Manastırı ve Çevresi,Trabzon,Maçka,"40.758, 39.585",Yüksek,Kısmi Açık,Doğa Yürüyüşü,https://gorsel-linki.com/vazelon.jpg
156,Van Akdamar Adası ve Kilisesi,Van,Gevaş,"38.342, 43.033",Çok Yüksek,Müze/Açık,"Tarihi Gezi, Fotoğrafçılık",https://gorsel-linki.com/akdamar.jpg
157,Van Gevaş Vizontele Platosu,Van,Gevaş,"38.302, 43.108",Çok Yüksek,Açık (Kısmi),"Set Ziyareti, Fotoğraf",https://gorsel-linki.com/vizontele.jpg
158,Rodos Adası,Yunanistan,Rodos,"36.4349,28.2176",Yüksek,Açık,Ortaçağ surları; Rodos Şövalyeleri tarihi; plajlar; deniz kıyısı kafeler,
159,Zonguldak Ereğli,Zonguldak,Ereğli,"41.2764,31.4202",Orta,Açık,Tarihi kömür madeni müzesi; sahil; Ereğli Kalesi,
160,Bozcaada,Çanakkale,Bozcaada,"39.8317,26.0533",Yüksek,Açık,Şarap bağları; tarihi kale; plajlar; rüzgar sörfü,
161,Eceabat Köyleri ve Zeytinlikler,Çanakkale,Eceabat,"40.185, 26.358",Yüksek,Açık,Tarih ve Doğa Turu,https://gorsel-linki.com/eceabat.jpg
162,Geyikli Beldesi,Çanakkale,Ezine,"39.8167,26.1667",Orta,Açık,Sahil; zeytinlikler; Çanakkale Boğazı yakını,
163,Çanakkale Şehitliği ve Tarihi Yarımada,Çanakkale,Merkez,"40.051, 26.234",Çok Yüksek,Açık,"Şehitlik Ziyareti, Tarih Turu",https://gorsel-linki.com/canakkale-sehitlik.jpg
164,?stinye,İstanbul,Sarıyer,"41.0862, 29.0265",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
165,Arnavutköy Sahili,İstanbul,Beşiktaş,"41.0390, 29.0686",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
166,Atatürk Kültür Merkezi (AKM),İstanbul,Beyoğlu,"41.036, 28.985",Çok Yüksek,Açık,Sanat Etkinlikleri,https://gorsel-linki.com/akm.jpg
167,Ayazağa Film Platosu,İstanbul,Sarıyer,"41.115, 28.992",Düşük,Özel İzinle,Film Çekimi,https://gorsel-linki.com/ayazaga.jpg
168,Ağva,İstanbul,Şile,"41.0758, 29.0670",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
169,Balat,İstanbul,Fatih,"41.0617, 29.0995",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
170,Balat Sokakları,İstanbul,Fatih,"41.031, 28.947",Yüksek,Açık,Cafe-Kültür Gezisi,https://gorsel-linki.com/balat.jpg
171,Balat/Ayvansaray Sokakları (Çukur),İstanbul,Fatih,"41.034, 28.941",Çok Yüksek,Açık,"Dizi Turu, Duvar Yazısı Avı",https://gorsel-linki.com/cukur-balat.jpg
172,Bebek,İstanbul,Beşiktaş,"41.0769,29.0369",Yüksek,Açık,Sahil kafeler; yat marinası; Boğaz yürüyüşü; balık restoranları,
173,Bebek Sahil Şeridi,İstanbul,Beşiktaş,"41.076, 29.043",Çok Yüksek,Açık,"Yürüyüş, Lüks Kafe Kültürü",https://gorsel-linki.com/bebek.jpg
174,Bebek Sahili,İstanbul,Beşiktaş,"41.0423, 29.0281",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
175,Bebek Sahili ve Fenerli Köşk,İstanbul,Beşiktaş,"41.076, 29.043",Çok Yüksek,Açık,"Yürüyüş, Kahve Keyfi",https://gorsel-linki.com/bebek-kosk.jpg
176,Belgrad Ormanı,İstanbul,Sarıyer,"41.0666, 29.0328",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
177,Beyazıt Meydanı,İstanbul,Fatih,"41.0108,28.9644",Yüksek,Açık,İstanbul Üniversitesi; tarihi çeşme; sahaf sokağı,
178,Beykoz Adliyesi ve Eski Sokaklar,İstanbul,Beykoz,"41.132, 29.091",Orta,Açık,Tarihi Şehir Gezisi,https://gorsel-linki.com/beykoz-sokak.jpg
179,Beykoz Film Platosu (Eski Kundura),İstanbul,Beykoz,"41.134, 29.071",Yüksek,Etkinlik Bazlı,"Set Gezisi, Festival",https://gorsel-linki.com/beykoz-plato.jpg
180,Beykoz Kundura Fabrikası,İstanbul,Beykoz,"41.0564, 29.0222",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
181,Beykoz Kundura Fabrikası (İç Mekan),İstanbul,Beykoz,"41.134, 29.071",Çok Yüksek,Özel İzinle,Film Platosu Gezisi,https://gorsel-linki.com/kundura-plato.jpg
182,Beykoz Sahili,İstanbul,Beykoz,"41.1309,29.0956",Orta,Açık,Boğaz yürüyüşü ve piknik,
183,Beyoğlu,İstanbul,Beyoğlu,"41.0335,28.9752",Yüksek,Açık,Kafe ve restoranlar; sanat galerileri; tarihi pasajlar,
184,Beyoğlu Arka Sokaklar ve Pavyonlar,İstanbul,Beyoğlu,"41.034, 28.978",Orta,Açık,Gece Hayatı Gözlemi,https://gorsel-linki.com/beyoglu-gece.jpg
185,Beyoğlu Arka Sokaklar ve Tarihi Apartmanlar,İstanbul,Beyoğlu,"41.033, 28.977",Çok Yüksek,Açık,"Kültür ve Sanat Turu, Gece Hayatı",https://gorsel-linki.com/beyoglu-sokak.jpg
186,Beyoğlu'nun Arka Sokakları,İstanbul,Beyoğlu,"41.0310,28.9745",Orta,Açık,Tarihi pasajlar; kafe kültürü; sokak sanatı,
187,Beşiktaş Sahili ve Dikilitaş,İstanbul,Beşiktaş,"41.042, 29.008",Çok Yüksek,Açık,"Yürüyüş, Şehir Turu",https://gorsel-linki.com/besiktas.jpg
188,Beşiktaş Çar??,İstanbul,Beşiktaş,"41.0365, 29.0444",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
189,Büyükada,İstanbul,Adalar,"41.0110, 29.0818",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
190,Cankurtaran ve Ahırkapı Sokakları,İstanbul,Fatih,"41.004, 28.981",Yüksek,Açık,"Nostalji Turu, Tarihi Doku",https://gorsel-linki.com/cankurtaran.jpg
191,Cihangir,İstanbul,Beyoğlu,"41.0569, 29.0471",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
192,Dolmabahçe Sarayı,İstanbul,Beşiktaş,"41.0391,29.0004",Yüksek,Açık,Osmanlı son dönemi mimarisi; Atatürk'ün vefat ettiği oda; bahçe turu,
193,Eminönü Meydanı,İstanbul,Fatih,"41.0173,28.9711",Yüksek,Açık,Mısır Çarşısı; Yeni Cami; Boğaz vapur iskelesi; simitçiler,
194,Emirgan Korusu,İstanbul,Sarıyer,"41.0417, 29.0401",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
195,Esenyurt,İstanbul,Esenyurt,"41.0287,28.6724",Düşük,Açık,Genel şehir gözlemi,
196,Eski İstanbul Mahalleleri ve Sokak Kültürü,İstanbul,Fatih,"41.018, 28.944",Yüksek,Açık,"Nostalji Gezisi, Sokak Lezzetleri",https://gorsel-linki.com/fatih-mahalle.jpg
197,Fatih,İstanbul,Fatih,"41.0186,28.9397",Orta,Açık,Tarihi camiler; Kapalıçarşı yakını; yerel pazar,
198,Fener,İstanbul,Fatih,"41.0663, 29.0167",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
199,Galata Kulesi,İstanbul,Beyoğlu,"41.0428, 29.0380",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
200,Galata Kulesi Çevresi,İstanbul,Beyoğlu,"41.0258,28.9742",Yüksek,Açık,Galata Kulesi; tarihi sokaklar; gece hayatı,
201,Galata Köprüsü,İstanbul,Eminönü,"41.0167,28.9739",Yüksek,Açık,Balık tutma; Altın Boynuz manzarası; yürüyüş,
202,Göktürk,İstanbul,Eyüpsultan,"41.0998, 29.0264",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
203,Gülhane Parkı,İstanbul,Fatih,"41.0762, 29.0263",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
204,Haydarpaşa Garı,İstanbul,Kadıköy,"40.9996,29.0229",Yüksek,Açık (kısıtlı),Tarihi tren garı fotoğrafçılığı; boğaz manzarası; mimari gezi,
205,Heybeliada,İstanbul,Adalar,"41.0649, 29.0582",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
206,Kadıköy,İstanbul,Kadıköy,"40.9903,29.0230",Yüksek,Açık,Pazarlar; kafe kültürü; vapur yolculuğu,
207,Kadıköy Boğa Heykeli,İstanbul,Kadıköy,"41.0754, 29.0936",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
208,Kadıköy Sahili (Moda),İstanbul,Kadıköy,"40.9820,29.0310",Yüksek,Açık,Moda sahil yürüyüşü; tarihi çay bahçeleri; vapur yolculuğu,
209,Kandilli,İstanbul,Üsküdar,"41.0374, 29.0166",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
210,Kapalıçarşı,İstanbul,Fatih,"41.0107,28.9680",Yüksek,Açık,Alışveriş; tarihi mimari; altın ve mücevher,
211,Kapalıçarşı Çatıları ve Mahmutpaşa Hattı,İstanbul,Fatih,"41.010, 28.968",Çok Yüksek,Açık/Özel,"Fotoğrafçılık, Alışveriş",https://gorsel-linki.com/kapalicarsi-cati.jpg
212,Karaköy,İstanbul,Beyoğlu,"41.0425, 29.0482",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
213,Kemerburgaz,İstanbul,Eyüpsultan,"41.0116, 29.0697",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
214,Kilyos,İstanbul,Sarıyer,"41.2425,29.0272",Orta,Açık,Karadeniz kumsalı; sörf; kamp alanları,
215,Kilyos Sahili,İstanbul,Sarıyer,"41.0227, 29.0295",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
216,Kireçburnu Sahili ve Parkı,İstanbul,Sarıyer,"41.141, 29.052",Çok Yüksek,Açık,"Çay İçme, Dizi Anması",https://gorsel-linki.com/kirecburnu.jpg
217,Kundura Fabrikası Dönem Platosu,İstanbul,Beykoz,"41.134, 29.071",Çok Yüksek,Özel İzinle,Dönem Dizisi Turu,https://gorsel-linki.com/donem-platosu.jpg
218,Kuzguncuk,İstanbul,Üsküdar,"41.0912, 29.0356",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
219,Kuzguncuk Evleri,İstanbul,Üsküdar,"41.037, 29.030",Yüksek,Açık,"Fotoğrafçılık, Nostalji Gezisi",https://gorsel-linki.com/kuzguncuk.jpg
220,Kuzguncuk Lazın Köşkü,İstanbul,Üsküdar,"41.036, 29.032",Yüksek,Ziyarete Açık,Nostalji Gezisi,https://gorsel-linki.com/lazin-kosku.jpg
221,Kız Kulesi,İstanbul,Üsküdar,"41.0211,29.0041",Yüksek,Açık,Boğaz ve İstanbul panoraması; tekne turu; tarihi kule,
222,Levent ve Maslak İş Merkezleri,İstanbul,Beşiktaş,"41.077, 29.012",Orta,Açık,Şehir Gezisi,https://gorsel-linki.com/levent.jpg
223,Moda Sahili,İstanbul,Kadıköy,"41.0868, 29.0472",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
224,Nişantaşı,İstanbul,Şişli,"41.0767, 29.0217",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
225,Ortaköy,İstanbul,Beşiktaş,"41.0120, 29.0922",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
226,Ortaköy Meydanı,İstanbul,Beşiktaş,"41.0478,29.0270",Yüksek,Açık,Ortaköy Camii; Boğaziçi Köprüsü manzarası; sokak yemekleri,
227,Paşabahçe ve Eski Cam Fabrikası Çevresi,İstanbul,Beykoz,"41.118, 29.091",Çok Yüksek,Açık/Özel,"Dizi Seti Gezisi, Nostalji",https://gorsel-linki.com/pasabahce.jpg
228,Pierre Loti Tepesi,İstanbul,Eyüpsultan,"41.0133, 29.0993",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
229,Pierre Loti Tepesi ve Mezarlıklar,İstanbul,Eyüpsultan,"41.053, 28.933",Çok Yüksek,Açık,"Manzara İzleme, Tarih Turu",https://gorsel-linki.com/pierre-loti.jpg
230,Polonezköy,İstanbul,Beykoz,"41.0299, 29.0743",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
231,Reşitpaşa ve Emirgan Villaları,İstanbul,Sarıyer,"41.104, 29.034",Yüksek,Kısıtlı,"Dizi Turu, Manzara Seyri",https://gorsel-linki.com/resitpasa.jpg
232,Rumeli Hisar?,İstanbul,Sarıyer,"41.0420, 29.0849",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
233,Rumelihisarı,İstanbul,Sarıyer,"41.0853,29.0547",Yüksek,Açık,Osmanlı kalesi gezisi; Boğaz manzarası; açık hava konserleri,
234,Salacak İskelesi,İstanbul,Üsküdar,"41.0172,29.0136",Orta,Açık,Kız Kulesi panoraması; Boğaz manzarası; balık tutma,
235,Samatya,İstanbul,Fatih,"40.9981,28.9272",Orta,Açık,Tarihi Rum ve Ermeni kiliseleri; sahil yürüyüşü; geleneksel mahalle dokusu,
236,Sarayburnu,İstanbul,Fatih,"41.0133,28.9833",Yüksek,Açık,İstanbul panoraması; balıkçı tekneleri; tarihi surlar başlangıcı,
237,Sarıyer Balıkçı Köyü,İstanbul,Sarıyer,"41.166, 29.050",Yüksek,Açık,"Gastronomi, Deniz Havası",https://gorsel-linki.com/sariyer.jpg
238,Sirkeci Garı,İstanbul,Fatih,"41.0136,28.9747",Yüksek,Açık (müze),Orient Express müzesi; tarihi bina fotoğrafçılığı,
239,Sirkeci Garı ve Çevresi,İstanbul,Fatih,"41.014, 28.977",Çok Yüksek,Açık,"Tarih Gezisi, Fotoğraf",https://gorsel-linki.com/sirkeci.jpg
240,Sultanahmet,İstanbul,Fatih,"41.0306, 29.0111",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
241,Sultanahmet Meydanı,İstanbul,Fatih,"41.0054,28.9768",Yüksek,Açık,Ayasofya; Sultanahmet Camii; Topkapı Sarayı,
242,Sultanahmet Meydanı ve Hipodrom,İstanbul,Fatih,"41.005, 28.976",Çok Yüksek,Açık,"Tarih Gezisi, Müze Ziyareti",https://gorsel-linki.com/sultanahmet.jpg
243,Süleymaniye,İstanbul,Fatih,"41.0750, 29.0578",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
244,Taksim Meydan?,İstanbul,Beyoğlu,"41.0515, 29.0282",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
245,Tarabya,İstanbul,Sarıyer,"41.0600, 29.0518",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
246,Tarlabaşı,İstanbul,Beyoğlu,"41.0326, 29.0609",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
247,Topkapı Sarayı,İstanbul,Fatih,"41.0115,28.9833",Yüksek,Açık,Osmanlı hazinesi; harem; deniz manzaralı bahçeler; Mukaddes Emanetler Dairesi,
248,Tuzla Marina ve Sahil Şeridi,İstanbul,Tuzla,"40.816, 29.303",Yüksek,Açık,"Yürüyüş, Gençlik Aktivite",https://gorsel-linki.com/tuzla-sahil.jpg
249,Vatan Caddesi ve Emniyet Müdürlüğü Çevresi,İstanbul,Fatih,"41.025, 28.941",Düşük,Açık,"Resmi İşlemler, Şehir Akışı",https://gorsel-linki.com/emniyet-vatan.jpg
250,Vefa,İstanbul,Fatih,"41.0708, 29.0320",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
251,Vefa Semti ve Tarihi Sokaklar,İstanbul,Fatih,"41.015, 28.958",Yüksek,Açık,"Boza İçimi, Tarihi Doku Gezisi",https://gorsel-linki.com/vefa.jpg
252,Yedi Kule Zindanları,İstanbul,Fatih,"40.9981,28.9215",Orta,Açık,Tarihi sur ve zindanlar gezisi; Bizans dönemi tarihi,
253,Yedikule Zindanları,İstanbul,Fatih,"41.0303, 29.0927",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
254,Yeniköy,İstanbul,Sarıyer,"41.0301, 29.0705",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
255,Yeniköy Sahili,İstanbul,Sarıyer,"41.1203,29.0583",Orta,Açık,Boğaz kıyısı yürüyüşü; balık restoranları,
256,Yerebatan Sarnıcı,İstanbul,Fatih,"41.0084,28.9779",Yüksek,Açık,Bizans dönemi sarnıç gezisi; sütunlar; gece etkinlikleri,
257,Zekeriyaköy Villaları,İstanbul,Sarıyer,"41.205, 29.028",Düşük,Özel Mülk,Konut Projeleri İnceleme,https://gorsel-linki.com/zekeriyakoy.jpg
258,Çaml?ca Tepesi,İstanbul,Üsküdar,"41.0234, 29.0343",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
259,Çengelköy,İstanbul,Üsküdar,"41.0801, 29.0511",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
260,Çengelköy Sahili,İstanbul,Üsküdar,"41.050, 29.052",Yüksek,Açık,"Çay Bahçesi, Yürüyüş",https://gorsel-linki.com/cengelkoy.jpg
261,Çukurcuma,İstanbul,Beyoğlu,"41.0291,28.9761",Yüksek,Açık,Antika dükkanları; sanatçı stüdyoları; tarihi apartmanlar,
262,Özel Okul ve Kampüs Binaları,İstanbul,Sarıyer,"41.125, 29.020",Düşük,Kısıtlı,Eğitim,https://gorsel-linki.com/kampus.jpg
263,Üsküdar,İstanbul,Üsküdar,"41.0228,29.0150",Orta,Açık,Kız Kulesi; sahil yürüyüşü; tarihi camiler,
264,Üsküdar İskelesi ve Çevresi,İstanbul,Üsküdar,"41.027, 29.015",Çok Yüksek,Açık,"Vapur Gezisi, Manzara",https://gorsel-linki.com/uskudar.jpg
265,Üsküdar-Güngören Arası Mahalleler,İstanbul,Güngören,"41.020, 28.870",Düşük,Açık,Yerel Yaşam Gözlemi,https://gorsel-linki.com/gungoren-sokak.jpg
266,İstanbul Çağlayan Adliyesi,İstanbul,Kağıthane,"41.082, 28.981",Düşük,Kısıtlı (Resmi Kurum),Gözlem,https://gorsel-linki.com/adliye.jpg
267,İstiklal Caddesi,İstanbul,Beyoğlu,"41.0147, 29.0447",Orta,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
268,İstinye Poligon ve Gecekondu Mahalleleri,İstanbul,Sarıyer,"41.115, 29.028",Düşük,Açık,Mahalle Kültürü Gözlemi,https://gorsel-linki.com/poligon.jpg
269,İstinye ve Yeniköy Yalılar Hattı,İstanbul,Sarıyer,"41.118, 29.055",Çok Yüksek,Açık/Özel,"Yalı Gözlemi, Yürüyüş",https://gorsel-linki.com/istinye-yali.jpg
270,Şile Plaj?,İstanbul,Şile,"41.0522, 29.0937",Yüksek,Açık,"Dizi seti ziyareti, Fotoğrafçılık",
271,Şile Sahili ve Villaları,İstanbul,Şile,"41.174, 29.612",Yüksek,Açık,"Deniz Keyfi, Tatil",https://gorsel-linki.com/sile.jpg
272,Şişli,İstanbul,Şişli,"41.0593,28.9870",Orta,Açık,Alışveriş merkezleri; İstiklal Caddesi yakını,
273,Alaçatı Sokakları ve Taş Evler,İzmir,Çeşme,"38.283, 26.374",Çok Yüksek,Açık,"Sörf, Butik Otel Gezisi",https://gorsel-linki.com/alacati.jpg
274,Alsancak Stadyumu ve Çevresi,İzmir,Konak,"38.438, 27.147",Yüksek,Açık,"Spor Müzesi Gezisi, Nostalji",https://gorsel-linki.com/alsancak-stad.jpg
275,Bademler Köyü ve Tiyatrosu,İzmir,Urla,"38.305, 26.836",Çok Yüksek,Açık,"Köy Tiyatrosu İzleme, Kültür",https://gorsel-linki.com/bademler.jpg
276,Bademli Köyü ve Zeytinlikler,İzmir,Dikili,"39.006, 26.790",Yüksek,Açık,"Köy Kahvaltısı, Zeytin Hasadı",https://gorsel-linki.com/dikili.jpg
277,Basmane Garı ve Eski İzmir Sokakları,İzmir,Konak,"38.423, 27.142",Yüksek,Açık,"Tarih Keşfi, Ulaşım",https://gorsel-linki.com/basmane.jpg
278,Birgi Tarihi Evleri ve Çakırağa Konağı,İzmir,Ödemiş,"38.257, 28.066",Çok Yüksek,Müze/Açık,Tarih ve Mimari Fotoğrafçılık,https://gorsel-linki.com/birgi.jpg
279,Birgi Tarihi Köy Meydanı,İzmir,Ödemiş,"38.257, 28.066",Yüksek,Açık,"Tarih Gezisi, Gastronomi",https://gorsel-linki.com/birgi-meydan.jpg
280,Bornova Eski Çarşı ve Sokak Araları,İzmir,Bornova,"38.462, 27.216",Düşük,Açık,"Nostalji Gezisi, Mahalle Kültürü",https://gorsel-linki.com/bornova.jpg
281,Bostanlı Sahil ve Çevresi,İzmir,Karşıyaka,"38.455, 27.089",Çok Yüksek,Açık,"Gün Batımı İzleme, Spor",https://gorsel-linki.com/bostanlı.jpg
282,Eski Foça Sahili ve Taş Evler,İzmir,Foça,"38.670, 26.756",Çok Yüksek,Açık,"Gün Batımı, Deniz Ürünleri",https://gorsel-linki.com/foca.jpg
283,Eşrefpaşa ve Tarihi İzmir Mahalleleri,İzmir,Konak,"38.411, 27.132",Yüksek,Açık,"Nostalji Turu, Gastronomi",https://gorsel-linki.com/esrefpasa.jpg
284,Gültepe Mahalleleri ve Eski Sokaklar,İzmir,Konak,"38.402, 27.165",Düşük,Açık,Nostaljik Gezi,https://gorsel-linki.com/gultepe.jpg
285,Ildır Köyü ve Antik Tiyatro Çevresi,İzmir,Çeşme,"38.388, 26.478",Yüksek,Açık,"Gün Batımı İzleme, Balıkçılık",https://gorsel-linki.com/ildir.jpg
286,Konak Meydanı,İzmir,Konak,"38.418, 27.128",Yüksek,Açık,Tarihi Gezi,https://gorsel-linki.com/konak.jpg
287,Kordon Boyu ve Alsancak İskele,İzmir,Konak,"38.433, 27.138",Çok Yüksek,Açık,"Yürüyüş, Gün Batımı",https://gorsel-linki.com/kordon.jpg
288,Kozak Yaylası,İzmir,Bergama,"39.245, 27.105",Yüksek,Açık,"Doğa Fotoğrafçılığı, Piknik",https://gorsel-linki.com/kozak-yaylasi.jpg
289,Pasaport İskelesi ve Kordon Hattı,İzmir,Konak,"38.428, 27.133",Çok Yüksek,Açık,"Yürüyüş, Gün Batımı",https://gorsel-linki.com/pasaport.jpg
290,Seferihisar,İzmir,Seferihisar,"38.1969,26.8380",Yüksek,Açık,Yavaş şehir deneyimi; organik pazar; tarihi dokular,
291,Sığacık Kalesi ve Kaleiçi Sokakları,İzmir,Seferihisar,"38.194, 26.784",Çok Yüksek,Açık,"Yavaş Şehir Gezisi, Organik Pazar",https://gorsel-linki.com/sigacik.jpg
292,Sığacık Köyü Meydanı,İzmir,Seferihisar,"38.194, 26.784",Çok Yüksek,Açık,"Yavaş Şehir Gezisi, Pazar",https://gorsel-linki.com/sigacik-meydan.jpg
293,Sığacık Köyü ve Limanı (Kavak Yelleri Evi),İzmir,Seferihisar,"38.194, 26.786",Çok Yüksek,Açık,"Dizi Turu, Pazar Gezisi",https://gorsel-linki.com/sigacik-kavak.jpg
294,Sığacık Köyü ve Yat Limanı,İzmir,Seferihisar,"38.194, 26.784",Çok Yüksek,Açık,"Gün Batımı, Gastronomi",https://gorsel-linki.com/sigacik-liman.jpg
295,Tire Tarihi Çarşı ve Salı Pazarı,İzmir,Tire,"38.089, 27.734",Çok Yüksek,Açık,"Gastronomi, El Sanatları",https://gorsel-linki.com/tire.jpg
296,Urla Bağ Yolları ve Taş Konaklar,İzmir,Urla,"38.324, 26.764",Yüksek,Açık,"Gastronomi, Bağ Gezisi",https://gorsel-linki.com/urla.jpg
297,Urla ve Çeşme Sahil Villaları,İzmir,Çeşme,"38.312, 26.345",Çok Yüksek,Kısıtlı (Özel Mülk),"Manzara İzleme, Fotoğraf",https://gorsel-linki.com/cesme-villa.jpg
298,Urla Çeşmealtı Sahili,İzmir,Urla,"38.354, 26.765",Çok Yüksek,Açık,"Yüzme, Sahil Yürüyüşü",https://gorsel-linki.com/cesmealti.jpg
299,Urla İskele ve Tarihi Gümrük Binaları,İzmir,Urla,"38.361, 26.772",Çok Yüksek,Açık,"Balık Gastronomisi, Yürüyüş",https://gorsel-linki.com/urla-iskele.jpg
300,Çeşme Marina ve Sahil Şeridi,İzmir,Çeşme,"38.324, 26.303",Çok Yüksek,Açık,"Yürüyüş, Tekne Turu",https://gorsel-linki.com/cesme-marina.jpg
301,Halfeti (Eski),Şanlıurfa,Halfeti,"37.247, 37.868",Çok Yüksek,Kısmi Açık,Tekne Turu,https://gorsel-linki.com/halfeti.jpg
302,Halfeti Saklı Cennet (Batık Şehir),Şanlıurfa,Halfeti,"37.247, 37.868",Çok Yüksek,Açık,"Tekne Turu, Sualtı Fotoğrafçılığı",https://gorsel-linki.com/halfeti-batik.jpg
303,Hilvan İlçesi,Şanlıurfa,Hilvan,"37.4833,38.9667",Orta,Açık,Tarihi mezra ve köy yaşamı gözlemi; Dicle havzası doğası,
304,Şanlıurfa Balıklıgöl ve Çevresi,Şanlıurfa,Eyyübiye,"37.147, 38.784",Çok Yüksek,Açık,"İnanç Turizmi, Fotoğraf",https://gorsel-linki.com/balikli-gol.jpg
