"yapim_adi","yapim_turu","senaryo_ozeti"
"Gençliğim Eyvah","dizi","İstanbul’un aynı mahallesinde rakip iki kebapçı olan Karadenizli ve Adanalı
iki ustanın, yıllar önce İtalya’da yaşadıkları gizli bir aşkın meyvesi olan bir gencin ansızın mahalleye
gelmesiyle altüst olan hayatları, dumanı tüten pazar yerlerinde başlar. Karadenizli ustanın o her
köşesi hamsi ve mısır unu kokan lokantası ile Adanalı ustanın o her köşesi acı ve közlenmiş biber
kokan dükkanı, iki farklı kültürün ve inatçılığın çarpıştığı atmosferik birer ayna gibidir; mahalledeki o
meraklı komşuların fısıltıları ise bu neşeli savaşa eşlik eden birer koro gibidir. Genç bir adamın,
'babamı arıyorum' diyerek her iki lokantaya da gelmesi hikayedeki en büyük komik kırılma noktasıdır.
İki ustanın da, yıllardır sakladıkları o İtalya macerasının ortaya çıkma tehlikesiyle yaşadıkları o panik,
gerilimi kahkahayla harmanlayan duyusal detaylar olarak işlenir. Mahalle kahvehanesindeki dumanlı
dertleşmeler ve pazar yerinde yapılan o 'en iyi kebap kimin?' yarışları, Türk insanının o sönmeyen
neşesini ve aidiyet duygusunu belgeler. Karakterlerin kendi aralarındaki o 'vay gençliğim eyvah'
diyerek yaptıkları o hüzünlü ama bir o kadar da mizahi hesaplaşmaları, sınıf farkının değil kültür
farkının yarattığı o ironik aynayı yansıtır. Bir gün kasabada düzenlenen o meşhur yemek festivali veya
şenlik, tüm karakterleri bir araya getiren ve dayanışma duygusunun zirveye çıktığı duygusal birer
dönemeçtir. Şehrin neon ışıklı yolları ile mahallenin o loş sokakları arasındaki geçişler, karakterlerin
özlem duygusunu derinleştirir. Bir kaza veya yanlış anlama sonucu iki rakip ustanın o 'yüksek duvarlı'
mesafesinin eridiği ve gerçek samimiyetin başladığı hüzünlü ama tatlı anlara sahne olur. Karakterlerin
birbirlerine duydukları sarsılmaz sadakat ve zor anlarda sergiledikleri o 'kan kardeşliği' ruhu, dizinin
temel taşını oluşturur. Finalde, iki ustanın da o sahil kenarında kurulan devasa bir sofrada bir araya
gelip birbirlerine sarıldıkları ve horon teptikleri o huzurlu kare, birliğin her türlü engeli yeneceğini
vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu 'has mahalleli' ustaların
samimi gülümsemesiyle parlayarak huzurlu bir hayatın kapılarını aralar."
"Gerzek Şaban","film","İstanbul’un o kendine has raconlarının ve pavyon dünyasının hüküm sürdüğü
1980’li yıllarda, birbirine tıpatıp benzeyen saf mahalle delikanlısı Şaban ile acımasız mafya lideri
Seyfi’nin yollarının bir yanlış anlama sonucu kesişmesiyle başlayan bu Yeşilçam klasiği, bir kahvehane
atmosferinde start alır. Şaban’ın o her köşesi samimiyet kokan mütevazı evi ve elindeki simidi, onun o
dürüst dünyasını yansıtan bir ayna gibidir; Seyfi’nin yaşadığı o her köşesi korumalarla dolu, dumanlı
pavyon ofisi ise bu masumiyete karşı duran tekinsiz bir dünyadır. Şaban’ın, yanlışlıkla 'baba' sanılıp
pavyonun başına geçirilmesi hikayedeki en büyük komik kırılma noktasıdır. Pavyonun loş ışıkları,
kristal aynaları ve sahnedeki o ağır orkestra sesleri, karakterin içine düştüğü o yabancılaşma hissini
belgeler. Şaban’ın, kabadayı raconlarını 'safça' yorumlayıp kötü adamları kendi zekasıyla dize getirdiği
o sahneler, izleyiciyi kahkahaya boğan sinematik birer zirvedir. Şehrin dar sokaklarındaki o kovalama
sahneleri ve gece yarısı liman bölgesinde yapılan o komik uyuşturucu baskını, gerilimi mizahla
harmanlayan atmosferik detaylardır. Kemal Sunal’ın o meşhur 'saf ama uyanık' karakteriyle, bir mafya
imparatorluğunu nasıl birbirine kattığı dramaturjinin en eğlenceli katmanını oluşturur. Karakterlerin
kendi aralarındaki o 'gerzek mi yoksa dahi mi?' tartışmaları, toplumsal rollerin yarattığı o ironik aynayı
belgeler. Bir gün gerçek Seyfi’nin hapisten çıkıp geri dönmesi, hikayeyi bir komediden sarsıcı birer
düelloya taşıyan zirve noktasıdır. Şehrin neon ışıklı yolları ile mahallenin o loş sokakları arasındaki
geçişler, karakterin aidiyet sorgulamasını simgeler. Finalde, tüm düşmanların birer birer dize
getirilmesinin ardından Şaban’ın o meşhur gülüşüyle pavyonu bir 'mahalle sofrasına' çevirdiği o
huzurlu kare, doğruluğun her türlü kötülüğe galip geleceğini vurgulayan neşeli bir kapanış sunar.
İstanbul’un akşam güneşi, bu 'has mahalleli' kahramanın üzerine doğarak sonsuz bir huzuru
müjdeler."
"Gerçek Kesit","dizi","İstanbul’un ve Anadolu’nun o her köşesi ibretlik hikayelerle dolu ıssız
sokaklarında, yaşanmış gerçek olaylardan esinlenen her bölümü farklı bir trajediyi konu alan bu kült
dizi, dumanlı bir mahalle kahvesinde veya loş bir mutfak masasında başlar. Karakterlerin sığındığı o
derme çatma, pencereleri rüzgar alan kerpiç evler veya gri beton apartman daireleri, insan doğasının
o en karanlık yanlarını yansıtan sarsıcı bir ayna gibidir; olay yerindeki o her köşeye sinmiş kan kokusu
ve siren sesleri ise adaletin ne kadar ağır bir bedeli olduğunu simgeler. Bir babanın evladına olan
öfkesi veya bir komşunun kurduğu sinsi tuzak, hikayelerin her bölümünde yenilenen o sarsıcı kırılma
noktalarını oluşturur. Karakterlerin aynadaki yansımasına bakarak yaptıkları o 'neden yaptım?' temalı
vicdan azabı dertleşmeleri, dramaturjiyi her saniye tırmandıran atmosferik detaylar olarak işlenir.
Şehrin tekinsiz arka sokakları, izbe depolar ve gece yarısı sığınılan o metruk binalar, suçun ve cezanın
atmosferik sahneleridir. Bir cinayet veya dolandırıcılık vakasının ardından hastane koridorunda veya
adliye önünde bekleyen kurban yakınlarının o perişan hali, toplumsal bir yaranın sinematik
kanıtlarıdır. Karakterlerin kendi aralarındaki o 'gerçek kesit' temalı hüzünlü ve bir o kadar da ibretlik
konuşmaları, Türk insanının o sarsılmaz ahlak değerlerini belgeler. Bir şafak vaktinde gerçekleştirilen
o polis baskını ve suçlunun elleri kelepçeli olarak götürüldüğü o vakur sahne, adaletin her yerde
tecelli edeceğini müjdeler. Şehrin üzerine çöken o ağır sis ve ardından gelen mutlak sessizlik, bir
masumiyetin bitişini veya bir günahın bedelini temsil eder. Finalde, her bir hikayenin sonunda verilen
o ahlaki ders ve karakterlerin boşluğa bakan o hüzünlü bakışları, hayatın ne kadar kırılgan olduğunu
vurgulayan sarsıcı bir kapanış sunar. İstanbul’un akşam ezanı sesleri, bu yaşanmış trajedilerin
hatırasını ebediyen o dar sokaklarda saklayacaktır."
"Gişe Memuru","film","İstanbul’un gri, beton yığınlarıyla çevrili ve o bitmek bilmeyen otoyol
gişelerinin klostrofobik atmosferinde, hayatını bir kabinin içindeki dar alanda tüketen gişe memuru
Kenan’ın hikayesi, sabahın ilk ışıklarıyla başlayan o monoton 'para al-bilet ver' ritmiyle başlar.
Kenan’ın o her köşesi tek tip formalarla ve fişlerle dolu küçük gişe kabini, onun dünyaya kapalı ama iç
dünyası hayallerle dolu dünyasını yansıtan hüzünlü bir ayna gibidir; dışarıdaki o bitmek bilmeyen araç
kuyrukları ve egzoz dumanı ise modern hayatın o ruhsuz akışını simgeler. Kenan’ın, bu
monotonluktan kaçmak için hayalinde kurguladığı o gizemli kadın figürü hikayedeki en büyük
psikolojik kırılma noktasıdır. Otoyol kenarındaki o ıssız lojman binası ve her köşesi tozlu kitaplarla
dolu odası, karakterin yabancılaşmasını belgeler. Gişeden geçen insanların o anlık, mesafeli ve kaba
tavırları, toplumsal bir kopukluğun sinematik kanıtlarıdır. Bir gün Kenan’ın, gişe başında yaşadığı bir
hayal mi yoksa gerçek mi olduğu belli olmayan bir olay sonrası tüm dengelerinin bozulması,
dramaturjinin en yüksek katmanını oluşturur. Şehrin üzerine çöken o ağır kış sisi ve otoyolun o
sönmeyen sarı ışıkları, karakterin iç dünyasındaki o bitmek bilmeyen yalnızlığı simgeleyen duyusal
detaylardır. Kenan’ın, otoriter babasıyla yaşadığı o tek kelimelik akşam yemeği sahneleri, kuşak
farkının yarattığı o aşılmaz duvarları yansıtan birer ayna işlevi görür. Bir gece yarısı kabininin
camından dışarıya bakıp özgürlüğü hayal ettiği o an, bir ruhun bedenden daha büyük olduğunu
gösteren sinematik bir zirvedir. Karakterlerin kendi aralarındaki o 'neden buradayım?' temalı sessiz
hesaplaşmaları, bir memurun sistem içindeki silikliğini belgeler. Finalde, Kenan’ın o dar kabinden çıkıp
otoyolun sonsuzluğuna doğru yürüdüğü ve uyanan şehre ilk kez birer özgür insan gibi baktığı o
huzurlu kare, adaletin ve huzurun ancak kendi iç sesini dinleyerek kazanılacağını vurgulayan sarsıcı bir
kapanış sunar. İstanbul’un akşam sisi, bu isimsiz gişe memurunun hatırasını ebediyen o betonlar
arasında saklayacaktır."
"Gomeda","film","Kapadokya’nın o binlerce yıllık mistik atmosferinde, bir hafta sonu tatili için bir
araya gelen beş arkadaşın, girdikleri gizemli bir mağarada geçmişin hayaletleriyle ve kendi
korkularıyla yüzleşmeleriyle başlayan bu psikolojik gerilim, vadi kenarındaki o taş evin önünde başlar.
Kapadokya’nın o peribacalarıyla süslü, rüzgarda uğuldayan ve her köşesinde bir efsanenin saklandığı
doğası, karakterlerin iç dünyasındaki o bitmek bilmeyen endişeyi yansıtan devasa bir ayna gibidir;
mağaranın o zifiri karanlığı ve damlayan su sesleri ise bilinçaltının tekinsiz mahzenlerini simgeler.
Arkadaş grubunun, mağarada kaybolmaları ve ardından gelen o tuhaf sanrılar hikayedeki en büyük
kırılma noktasıdır. El fenerlerinin titrek ışığı altında duvarlara yansıyan o devasa gölgeler,
karakterlerin işledikleri günahları ve sakladıkları sırları ifşa eden atmosferik detaylar olarak metne
işlenir. Karakterlerden birinin, mağaranın derinliklerinden gelen bir fısıltıyı takip etmesi ve grubun
birbirine olan güveninin sarsılması, dramaturjiyi her saniye tırmandıran duygusal zirvelerdir. Bir gece
yarısı vadi kenarında gerçekleştirilen o sarsıcı yüzleşme ve karakterlerin kendi aynalarındaki o
'canavar' ile tanışmaları, insan doğasının o en karanlık yanlarını belgeler. Şehrin pırıltılı yolları ile
Kapadokya’nın o mutlak sessizliği arasındaki uçurum, ruhun arınma değil birer yıkım sürecini temsil
eder. Mağaranın içindeki o nemli doku ve duyulan o sarsıcı ağıt sesleri, filmin adını aldığı o meşhur
'Gomeda' efsanesinin sinematik imzasıdır. Karakterlerin kendi ailevi geçmişlerindeki sırlar ve dökülen
yaşlar, her bir karede izleyiciyi vicdani bir hesaplaşmaya davet eder. Bir pusu veya kaza sonrası
mağaranın çıkışına ulaşmaya çalışan o yaralı ruhların çaresizliği, adaletin ne kadar ağır bir bedeli
olduğunu belgeler. Finalde, şafak vaktinde mağaradan tek başına çıkan bir karakterin o vakur ama
ruhunu kaybetmiş hallerle vadiye baktığı o son kare, geçmişin asla peşimizi bırakmayacağını
vurgulayan sarsıcı bir kapanış sunar. Nevşehir’in batan güneşi, bu büyük trajedinin izlerini ebediyen o
peribacaları arasında saklayacaktır."
"Gönül","dizi","İstanbul’un hem modern hem de geleneksel dokusunu ruhunda taşıyan bir
mahallesinde, her sabah taze çiçek kokularıyla uyanan Gönül’ün, zengin bir ailenin veliahdı ile
yaşadığı o masalsı aşkın ardından gelen sarsıcı bir ihanetle yıkılan dünyası, gelinlik dükkanının o
samimi atmosferinde başlar. Gönül’ün o her köşesi el emeği işlemelerle ve dantellerle dolu mütevazı
dükkanı, onun o güne kadar kurduğu o saf hayallerini yansıtan bir ayna gibidir; ancak bir gece yarısı
yalıda patlak veren bir iftira haberi bu huzuru yerle bir eden en büyük kırılma noktasıdır. Malikanenin
kristal avizeleri, yüksek tavanlı salonları ve her adımda yankılanan o soğuk mermer koridorları, Gönül
için birer hapishane atmosferi sunar. Gönül’ün, sevdiği adamın aslında bir başkasıyla evlendirilmek
istendiğini öğrendiği o ilk saniye, karakterin masumiyetinin bittiği ve onur savaşının başladığı sarsıcı
bir zirve noktasıdır. Mahalle kahvehanesindeki dumanlı dertleşmeler ve pazar yerindeki neşeli
atışmalar, Türk insanının o sönmeyen neşesini ve aidiyet duygusunu belgeler. Karakterlerin kendi
aralarındaki o 'gönül işidir bu' diyerek yaptıkları o içten konuşmalar, sevginin paradan daha önemli
olduğunu gösteren duygusal zirvelerdir. Bir gün holding binasında düzenlenen büyük bir lansman
sırasında Gönül’ün tüm gerçekleri haykırdığı o an, bir kadının uyanışını simgeleyen sinematik bir
zaferdir. Şehrin neon ışıklı yolları ile mahallenin o loş sokakları arasındaki geçişler, karakterin aidiyet
sorgulamasını simgeler. Bir kaza veya hastalık sonrası hastane koridorunda bekleyen tüm mahalle
halkının tek vücut olması, sadakatin ne kadar sarsılmaz olduğunu belgeler. Karakterlerin kendi ailevi
geçmişlerindeki sırlar ve dökülen hüzünlü yaşlar, her bir karede izleyiciyi derinden etkiler. Finalde,
Gönül’ün o lüks dünyayı reddedip mahallesindeki dükkanının önüne tüm komşularıyla birlikte
kurduğu o büyük sofrada güldüğü o huzurlu kare, gerçek mutluluğun samimiyette olduğunu
vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu 'gönül' zengini kadının samimi
gülümsemesiyle parlayarak huzurlu bir hayatın kapılarını aralar."
"Gönül Ferman Dinlemiyor","dizi","İstanbul’un orta halli bir mahallesinde, bir yanda her şeyi kuralına
göre yaşayan disiplinli bir baba, diğer yanda ise aşkı için dünyayı karşısına alan çocuklarının neşeli
hikayesi, bir akşam yemeği sofrasında başlar. Evin o her köşesi aile fotoğraflarıyla dolu samimi salonu,
babanın sarsılmaz otoritesini yansıtan bir ayna gibidir; ancak bir gece yarısı kızının zengin bir gence
kaçma kararı alması bu huzuru bozan en büyük kırılma noktasıdır. Mahalle kahvehanesindeki dumanlı
sohbetler, bakkalın önündeki fısıltılar ve gece yarısı vapur iskelelerinde yapılan o hüzünlü yürüyüşler,
İstanbul’un kaybolmaya yüz tutmuş o sıcak atmosferini yansıtan duyusal detaylardır. Karakterlerin
kendi aralarındaki o 'gönül ferman dinlemiyor' diyerek yaptıkları o içten atışmalar, Türk insanının o
sönmeyen yaşama sevincini belgeler. Babanın, kızını geri getirmek için girdiği o komik ama bir o kadar
da yürek burkan takip sahneleri, dramaturjiyi her bölümde zirveye taşıyan duygusal zirve noktalarıdır.
Şehrin lüks alışveriş merkezlerindeki o sakar halleri ve holding binalarının o soğuk ofislerinde babanın
sergilediği o vakur duruş, toplumsal sınıfların yarattığı o ironik aynayı belgeler. Bir gün aile sırlarının
bir yanlış anlama sonucu mahalle meydanında ortaya dökülmesi, gerilimin kahkahayla harmanlandığı
sarsıcı bir andır. Karakterlerin kendi ailevi dertleri ve sevdiği adama yazdığı o meşhur 'elveda'
mektubu, sevginin ne kadar ağır bir bedeli olduğunu gösteren sinematik zirvelerdir. Şehrin üzerine
çöken akşam sisi ve vapurların o acı sireni, bitmek bilmeyen bir mücadelenin ve sönmeyen bir
aidiyetin sembolleridir. Bir gece yarısı mahalle meydanında yakılan ateş etrafında toplanan halkın o
birlik görüntüsü, tüm küslüklerin bittiği ve sevginin kazandığı muazzam bir zirvedir. Finalde, babanın
kızının elini tutup 'hoş geldin' dediği ve bahçedeki büyük bir sofrada herkesin birlikte güldüğü o
huzurlu kare, birliğin her türlü fırtınayı yeneceğini vurgulayan umut dolu bir kapanış sunar.
İstanbul’un akşam güneşi, bu 'has mahalleli' ailenin üzerine doğarak sonsuz bir huzuru müjdeler."
"Gönül Yarası (film)","film","Emekli bir öğretmen olan Nazım’ın, Doğu’nun karlı ve sarp yollarından
İstanbul’un o dumanlı pavyon dünyasına uzanan hikayesi, bir pavyon kulisinde şarkı söyleyen Dünya
ile tanışmasıyla başlar. Nazım’ın o her köşesi kitaplarla ve hüzünle dolu sessiz evi, onun o güne kadar
süren dürüst dünyasını yansıtan bir ayna gibidir; Dünya’nın çalıştığı o neon ışıklı, ağır parfümlü
pavyon atmosferi ise bu masumiyete karşı duran tekinsiz bir dünyadır. Dünya’nın, eski kocası Halil’in
takıntılı öfkesinden kaçmaya çalışması hikayedeki en büyük kırılma noktasıdır. Nazım’ın, Dünya’yı ve
çocuğunu korumak adına o güne kadar uzak durduğu tehlikeli sokaklara adım atması, karakterin o
sert kabuğunun altındaki merhameti belgeler. Şehrin karanlık arka sokakları, izbe otel odaları ve gece
yarısı vapur iskelelerinde geçen o hüzünlü bekleyişler, dramaturjiyi besleyen atmosferik detaylardır.
Halil’in, bir gece yarısı pavyonu basması ve Nazım’ın karşısına dikildiği o an, gerilimin zirve noktasıdır.
Karakterlerin kendi aralarındaki o 'gönül yarası' temalı yanık türkülerle dolu dertleşmeleri, Türk
sinemasının o en hüzünlü katmanını oluşturur. Bir gün Halil’in çocuklarını kaçırması, hikayeyi bir
dramdan sarsıcı bir hayatta kalma mücadelesine taşır. Şehrin üzerine çöken o ağır kış sisi ve ardından
gelen sağanak yağmur, karakterlerin o güne kadar biriktirdiği tüm acıların arınma sürecini temsil eden
duyusal detaylardır. Nazım’ın, Dünya için kendi hayatını tehlikeye attığı o son saniye, sadakatin
paradan daha önemli olduğunu kanıtlayan sinematik bir zirvedir. Karakterlerin aynaya baktıklarında o
eski huzurlu yüzlerini bir daha görememeleri, ruhsal bir çöküşün sinematik kanıtıdır. Finalde, tüm bu
fırtınanın ardından sahil kenarında el ele yürüyen Nazım ve Dünya’nın o yorgun ama umutlu
görüntüsü, sevginin her türlü şiddeti ve nefreti yeneceğini vurgulayan sarsıcı bir kapanış sunar.
İstanbul’un akşam sisi, bu yaralı ruhların hatırasını ebediyen o dar sokaklarda saklayacaktır."
"Gönülçelen","dizi","İstanbul’un tarihi dokusuyla örülü eski bir mahallesinde, bir yanda dünyaca ünlü
bir müzik profesörü olan Murat, diğer yanda ise çiçek satarak geçimini sağlayan saf ve hırçın Hasret’in
hikayesi, mahalledeki o neşeli pazar yerinde başlar. Hasret’in o her köşesi renkli çiçeklerle ve sokağın
gürültüsüyle dolu evi, onun o güne kadar kurduğu o doğal dünyasını yansıtan bir ayna gibidir;
Murat’ın o steril, piyano sesleriyle yankılanan ve yüksek tavanlı malikanesi ise bu doğallığa karşı
duran aristokrat bir kaledir. Murat’ın, Hasret’i bir 'hanımefendi' ve bir şarkıcı yapmak üzere iddiaya
girmesi hikayedeki en büyük kırılma noktasıdır. Hasret’in, malikanenin o soğuk mermer
koridorlarında sergilediği o kural tanımaz halleri ve porselen takımlarla imtihanı, gerilimi kahkahayla
harmanlayan atmosferik detaylar sunar. Karakterlerin kendi aralarındaki o 'gönülçelen' temalı
dertleşmeleri ve Hasret’in sesinden yükselen o yanık türküler, Türk insanının o sönmeyen neşesini
belgeler. Bir gün Hasret’in gerçek yeteneğinin bir sahnede keşfedilmesi ve Murat’ın ona gerçekten
aşık olması, hikayeyi bir iddiadan sarsıcı bir aşk masalına taşıyan zirve noktasıdır. Şehrin neon ışıklı
gece kulüpleri ile mahallenin o loş sokakları arasındaki tezatlık, karakterin aidiyet sorgulamasını
belgeler. Bir gece yarısı Boğaz kenarında gerçekleştirilen o son ve büyük hesaplaşma, sevginin her
türlü statüden üstün olduğunu gösteren duygusal bir zirvedir. Karakterlerin kılık değiştirmeleri ve
düğün sahneleri, izleyiciyi hem güldüren hem de duygulandıran sinematik birer ayna işlevi görür.
Murat’ın, Hasret’in o saf kalbine kapılarak kendi kibrinden vazgeçmesi, dramaturjinin en yüksek
katmanını oluşturur. Finalde, mahalle meydanında düzenlenen o görkemli düğün töreninde Hasret’in
gelinliğiyle çiçek dağıttığı o huzurlu kare, gerçek mutluluğun şatafatta değil samimiyette olduğunu
vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu 'gönülçelen' aşıkların üzerine
doğarak yeni bir hayatın kapılarını aralar."
"Görünmeyenler","film","İstanbul’un modern ve lüks bir apartman dairesinde yaşayan bir ailenin,
evlerindeki görünmeyen bir güç tarafından taciz edilmesiyle başlayan bu korku-gerilim, her köşesi
minimalist ve şık eşyalarla döşeli steril bir salonda start alır. Evin o her saniyesi güvenlik kameralarıyla
izlenen ve her köşesi camdan duvarlarla çevrili yapısı, karakterlerin o güne kadar kurduğu o huzurlu
hayatını yansıtan bir ayna gibidir; ancak gece yarısı duyulan o açıklanamayan ayak sesleri ve yer
değiştiren eşyalar bu sakinliği bozan en büyük kırılma noktasıdır. Karakterlerin, evde yalnız
olmadıklarını anladıkları o ilk sarsıcı an, hikayeyi bir aile dramından mutlak bir dehşet yolculuğuna
taşır. Kameralardan yansıyan o bulanık ve gri görüntüler ile karakterlerin o çaresiz bakışları arasındaki
tezatlık, gerilimi her geçen saniye doruğa taşıyan atmosferik detaylardır. Bir gün evin en küçük
çocuğunun görünmeyen bu güçle konuşmaya başlaması, dramaturjiyi sarsan en yüksek korku
zirvesidir. Karakterlerin kendi aralarındaki o 'akıl sağlığı' temalı hıçkırık dolu tartışmaları, modern
insanın çaresizliğini yansıtan birer ayna işlevi görür. Şehrin üzerine çöken o ağır kış sisi ve evin
dışındaki o umursamaz hayat, karakterlerin yalnızlığını katmerleyen duyusal bir detaydır. Bir gece
yarısı evin tüm ışıklarının sönmesi ve görünmeyen o gücün fiziksel bir şiddete dönüşmesi, hikayenin
en sarsıcı zirve noktasıdır. Karakterlerin kendi ailevi geçmişlerindeki sırlar ve evde yıllar önce işlenen
bir cinayetin ortaya çıkışı, gerilimi mühürleyen atmosferik unsurlardır. Bir hoca veya medyumun eve
getirilmesiyle yaşanan o sarsıcı ritüel sahnesi, masumiyetin ve kötülüğün çarpıştığı sinematik bir
zirvedir. Finalde, ailenin evi terk etmek zorunda kaldığı ama o görünmeyen gücün hala orada kaldığını
gösteren o son kare, korkunun hiçbir zaman bitmeyeceğini vurgulayan sarsıcı bir kapanış sunar.
İstanbul’un sabah sisi, bu 'görünmeyen' dehşetin hatırasını ebediyen o apartman duvarları arasında
saklayacaktır."
"Gözleri KaraDeniz","dizi","Karadeniz’in o sarp ve hırçın dalgalarıyla dövülen yeşil yamaçlarındaki
huzurlu bir köyde, bir gün köye atanan idealist bir doktorun, köyün en hırçın ve inatçı kızı olan Gözde
ile yaşadığı o tutkulu aşkın hikayesi, köy meydanındaki o kadim çınar ağacı altında başlar. Köyün
kerpiç evleri, tarlalardan gelen o taze mısır kokusu ve denizin o hiç dinmeyen uğultusu, karakterlerin
o sarsılmaz iradelerini yansıtan birer ayna gibidir; ancak dışarıdan gelen modern dünyanın getirdiği o
teknolojik aletler ve lüks tüketim hırsı bu sakinliğe karşı duran tekinsiz birer unsurdur. Doktorun,
köyde bir sağlık ocağı kurma mücadelesi ve Gözde’nin ona karşı sergilediği o 'has Karadenizli' inadı
hikayedeki en büyük komik kırılma noktasıdır. Tarlalarda ter dökerken ve yaylaya çıkarken yaşanan o
sarsıntılı yolculuklar, karakterlerin üzerindeki o 'şehirli' kabuğu kıran atmosferik detaylar olarak
işlenir. Karakterlerin kendi aralarındaki o 'kemençe mi, keman mı?' temalı sert ama bir o kadar da
mizahi hesaplaşmaları, sınıf farkının değil kültür farkının yarattığı o ironik aynayı yansıtır. Bir gün köy
meydanında düzenlenen o meşhur festivaller veya yemek yarışmaları, tüm karakterleri bir araya
getiren ve dayanışma duygusunun zirveye çıktığı duygusal birer dönemeçtir. Şehrin neon ışıklı yolları
ile Karadeniz’in o dingin doğası arasındaki tezatlık, karakterlerin özlem duygusunu derinleştirir. Bir
kaza veya yanlış anlama sonucu doktorun kasabadan gitme kararı alması, hikayeyi bir komediden
sarsıcı bir veda sahnesine taşır. Karakterlerin birbirlerine duydukları sarsılmaz sadakat ve zor anlarda
sergiledikleri o 'kan kardeşliği' ruhu, dizinin temel taşını oluşturur. Finalde, doktorun kasabada
kalmaya karar vermesi ve Gözde ile birlikte o hırçın denize karşı durup gülümsedikleri o huzurlu kare,
birliğin her türlü engeli yeneceğini vurgulayan umut dolu bir kapanış sunar. Karadeniz’in güneşi, bu
'gözleri kara' sevdalıların üzerine doğarak sonsuz bir huzuru müjdeler."
"Gözlerinde Son Gece","dizi","İstanbul’un pırıltılı sahne dünyasının o parfümlü, dumanlı ve her
köşesinde bir hayalin kırıldığı pavyon atmosferinde, hayatını bir şarkıcı olarak kazanan ancak büyük
bir intikam peşinde olan bir kadının hikayesi, sahnedeki o kör edici ışıklar altında başlar. Kadının
sahnede söylediği o hüzünlü türküler ve aynanın karşısında temizlediği o ağır sahne makyajı,
karakterin içindeki o yaralı anne ruhunu yansıtan dokunaklı birer ayna gibidir; ancak bir gece yarısı
kulise gelen gizemli bir çiçek, geçmişin hayaletlerini uyandıran en büyük kırılma noktasıdır. Şehrin lüks
gece kulüpleri, dumanlı kumarhaneler ve gece yarısı sığınılan o metruk binalar, karakterin kaçış ve
takip planlarını kurguladığı tekinsiz mekanlardır. Kadının, yıllar önce kendisinden koparılan çocuğunun
aslında çok yakınında olduğunu öğrenmesi hikayeyi bir dramdan sarsıcı bir evlat arayışına taşır. Şehrin
lüks restoranlarındaki o sahte pırıltılar ile yeraltı dünyasının dumanlı mekanları arasındaki tezatlık,
karakterlerin aidiyet sorgulamasını belgeler. Bir gün malikanede düzenlenen büyük bir davette
kadının güzelliğiyle herkesi büyülediği o an, yalanların ve gerçeklerin çarpıştığı sarsıcı bir zirve noktası
yaratır. Karakterlerin kendi aralarındaki o 'sadakat mi yoksa hırs mı?' sorgulamaları, her bir odada
fiziksel bir baskı yaratan birer ayna işlevi görür. Bir kaza veya pusu sonrası hastane koridorunda
bekleyen o sessiz ve gerilimli grup, sevginin ne kadar ağır bir bedeli olduğunu gösteren sinematik
zirvelerdir. Şehrin üzerine çöken akşam sisi ve vapurların o acı sireni, bitmek bilmeyen bir
mücadelenin ve sönmeyen bir adaletin sembolleridir. Karakterlerin kendi ailevi geçmişlerindeki sırlar
ve dökülen hüzünlü yaşlar, her bir karede izleyiciyi vicdani bir hesaplaşmaya davet eder. Finalde,
kadının tüm düşmanlarını dize getirmesine rağmen evladına kavuştuğu o huzurlu kare, adaletin geç
de olsa yerini bulacağını vurgulayan hüzünlü bir kapanış sunar. İstanbul’un akşam ışıkları, bu yaralı
ama vakur kadının yeni hayatını müjdelercesine ufukta parlar."
